127.0.0.1, 2018-10-08 22:40:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000218
127.0.0.1, 2018-10-08 22:40:44, GET, /admin/default/design/start, HTTP/1.1, 200, 0.135143
127.0.0.1, 2018-10-08 22:40:44, GET, /admin/static/_2.17.1/images/search.png, HTTP/1.1, 200, 0.007235
127.0.0.1, 2018-10-08 22:40:44, GET, /admin/static/_2.17.1/images/help.png, HTTP/1.1, 200, 0.001526
127.0.0.1, 2018-10-08 22:40:44, GET, /admin/static/_2.17.1/images/delete_icon.png, HTTP/1.1, 200, 0.000502
127.0.0.1, 2018-10-08 22:40:44, GET, /admin/static/_2.17.1/images/test_icon.png, HTTP/1.1, 200, 0.001780
127.0.0.1, 2018-10-08 22:40:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2018-10-08 22:40:52, GET, /admin/default/logout, HTTP/1.1, 303, 0.022935
127.0.0.1, 2018-10-08 22:40:52, GET, /admin/default/index, HTTP/1.1, 200, 0.014950
127.0.0.1, 2018-10-17 15:03:41, GET, /, HTTP/1.1, 303, 0.003939
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.259773
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000821
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001045
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002557
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001802
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002569
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003135
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000936
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002466
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000681
127.0.0.1, 2018-10-17 15:03:42, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000879
127.0.0.1, 2018-10-17 15:03:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.022168
127.0.0.1, 2018-10-17 15:04:00, GET, /, HTTP/1.1, 303, 0.000606
127.0.0.1, 2018-10-17 15:04:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.024535
127.0.0.1, 2018-10-17 15:04:02, GET, /start/, HTTP/1.1, 200, 0.156884
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000833
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002054
